名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,都道府県,電話番号,携帯,キャリア,カレーの食べ方
福永 勇,ふくなが ゆう,fukunaga_yuu@example.com,女,75,1946/2/14,既婚,神奈川県,049-367-6754,080-2251-8813,ドコモ,ぶっかけ・せき止め派
藤原 窈,ふじわら よう,fujiwara_you@example.com,女,31,1990/2/25,既婚,群馬県,014-776- 415,090-9193-6640,au,ぶっかけ・せき止め派
小椋 景子,おぐら けいこ,ogura_keiko@example.com,女,64,1957/4/25,既婚,大阪府,094-882-8416,080-2468-1772,ドコモ,ぶっかけ・ルー攻め派
大谷 景子,おおたに けいこ,ootani_keiko@example.com,女,38,1983/7/12,既婚,兵庫県,037-436-5844,090-3373-7371,au,手前ルー・ルー攻め派
滝沢 あさみ,たきざわ あさみ,takizawa_asami@example.com,女,24,1997/1/2,未婚,鳥取県,058-623-6691,080-4285-1039,ドコモ,右ルー・ナン派
塩見 徹平,しおみ てっぺい,shiomi_teppei@example.com,男,30,1991/9/19,未婚,島根県,093-766-3665,090-4490-6140,ドコモ,ぶっかけ・混ぜ混ぜ派
松岡 沙知絵,まつおか さちえ,matsuoka_sachie@example.com,女,32,1989/5/9,既婚,兵庫県,041-724-5722,080-4860-7199,au,右ルー・混ぜ混ぜ派
明石 勇一,あかし ゆういち,akashi_yuuichi@example.com,男,41,1980/7/25,既婚,福島県,053-173-8616,090-4329-2891,ドコモ,左ルー・混ぜ混ぜ派
寺岡 ジローラモ,てらおか じろーらも,teraoka_girolamo@example.com,男,38,1983/6/27,既婚,三重県,072-950- 684,090-6699-5465,ソフトバンク,ぶっかけ・別口派
相田 徹,あいだ とおる,aida_tooru@example.com,男,38,1983/4/5,既婚,北海道,015-770-7899,080-4858- 329,au,右ルー・混ぜ混ぜ派
西口 美幸,にしぐち みゆき,nishiguchi_miyuki@example.com,女,77,1944/7/3,既婚,宮城県,048-642-6293,080-3956-4853,ドコモ,奥ルー・せき止め派
吉本 真一,よしもと しんいち,yoshimoto_shinichi@example.com,男,40,1981/2/1,既婚,千葉県,088-602-7181,090-9395-2932,ドコモ,ぶっかけ・せき止め派
北田 優,きただ ゆう,kitada_yuu@example.com,女,71,1950/3/14,既婚,大阪府,065-247-6357,080-1061-6883,ドコモ,ぶっかけ・せき止め派
村上 由宇,むらかみ ゆう,murakami_yuu@example.com,女,47,1974/9/15,既婚,岐阜県,074-374-5778,080-3688-5920,ドコモ,左ルー・ルー攻め派
塩見 雄太,しおみ ゆうた,shiomi_yuuta@example.com,男,50,1970/10/10,未婚,千葉県,011-688-5611,080-3293-6090,au,左ルー・せき止め派
荒木 克実,あらき かつみ,araki_katsumi@example.com,男,47,1974/2/6,既婚,神奈川県,041- 25-6768,090-9705-4920,au,ぶっかけ・別口派
森岡 あき,もりおか あき,morioka_aki@example.com,女,26,1995/5/30,既婚,宮城県,040-372-7954,080-9785-5549,ドコモ,ぶっかけ・せき止め派
小林 陽子,こばやし ようこ,kobayashi_youko@example.com,女,59,1962/2/1,既婚,神奈川県,091-791-9986,090-3495-5016,ドコモ,右ルー・混ぜ混ぜ派
松島 麻緒,まつしま まお,matsushima_mao@example.com,女,66,1955/7/8,既婚,大分県,046-918-3072,080-5500-7112,ドコモ,ぶっかけ・別口派
田川 陽子,たがわ ようこ,tagawa_youko@example.com,女,20,2001/6/17,未婚,東京都,082-654-4963,080-3178-9864,ソフトバンク,左ルー・別口派
安永 圭,やすなが けい,yasunaga_kei@example.com,男,73,1948/3/5,既婚,愛媛県,0 6-835-8217,090-  45-4409,au,右ルー・せき止め派
井村 光臣,いむら みつおみ,imura_mitsuomi@example.com,男,67,1954/3/24,既婚,京都府,075-138-8955,090-9075-6432,ドコモ,手前ルー・せき止め派
平田 寛,ひらた ひろし,hirata_hiroshi@example.com,男,41,1980/1/8,既婚,神奈川県,028-961-1013,080-7997-9210,au,右ルー・ナン派
大木 恵望子,おおき えみこ,ooki_emiko@example.com,女,79,1942/4/29,既婚,富山県,064-767-5966,090-4611-3086,ドコモ,奥ルー・ルー攻め派
西本 倫子,にしもと のりこ,nishimoto_noriko@example.com,女,44,1976/12/3,既婚,愛知県,045-354-9895,080-7714-5887,ドコモ,奥ルー・せき止め派
岩崎 豊,いわさき ゆたか,iwasaki_yutaka@example.com,男,66,1955/1/23,既婚,奈良県,035-940-9126,080-8980-4317,ドコモ,左ルー・せき止め派
依田 文世,よりた ふみよ,yorita_fumiyo@example.com,女,57,1963/11/26,既婚,愛知県,079-917-2340,090- 726-8458,ソフトバンク,ぶっかけ・混ぜ混ぜ派
古川 美智子,ふるかわ みちこ,furukawa_michiko@example.com,女,76,1945/9/22,既婚,群馬県,020-674-9441,090-4220- 592,au,右ルー・ルー攻め派
三谷 亮,みたに りょう,mitani_ryou@example.com,男,67,1954/5/9,既婚,奈良県,074-308-1428,090-1854-7765,ドコモ,ぶっかけ・せき止め派
野際 三省,のぎわ さんせい,nogiwa_sansei@example.com,男,59,1961/12/18,既婚,東京都,066- 72-2632,090-7275- 653,ソフトバンク,ぶっかけ・せき止め派
岩崎 真悠子,いわさき まゆこ,iwasaki_mayuko@example.com,女,41,1980/5/3,既婚,東京都,025-598- 412,080-5874-2733,au,ぶっかけ・混ぜ混ぜ派
河田 フミヤ,かわた ふみや,kawata_fumiya@example.com,男,29,1991/11/2,既婚,山口県,082-925-2911,080-2659-1371,ドコモ,右ルー・ルー攻め派
末永 れいな,すえなが れいな,suenaga_reina@example.com,女,42,1978/12/27,既婚,東京都,035-570-2480,090-7955-9589,au,左ルー・せき止め派
栗林 雅彦,くりばやし まさひこ,kuribayashi_masahiko@example.com,男,45,1976/1/7,既婚,神奈川県,016-585-3899,080-9744-2871,au,ぶっかけ・混ぜ混ぜ派
宮沢 宏,みやざわ ひろし,miyazawa_hiroshi@example.com,男,43,1978/5/19,未婚,沖縄県,095-127-1241,080- 420-1060,ソフトバンク,ぶっかけ・混ぜ混ぜ派
広末 未來,ひろすえ みらい,hirosue_mirai@example.com,女,40,1980/11/13,既婚,神奈川県,017-811-2335,090-8674-9505,ドコモ,左ルー・ルー攻め派
山中 慶太,やまなか けいた,yamanaka_keita@example.com,男,56,1965/1/13,既婚,東京都,014- 95-1945,080-7952-7193,ドコモ,左ルー・せき止め派
日比野 瞳,ひびの ひとみ,hibino_hitomi@example.com,女,79,1942/5/6,既婚,大阪府,090-503- 381,080-4195-8273,ドコモ,右ルー・混ぜ混ぜ派
笹原 達士,ささはら たつひと,sasahara_tatsuhito@example.com,男,44,1977/5/5,既婚,新潟県,060-327-7808,080-3601-3769,ソフトバンク,右ルー・別口派
海野 あおい,うみの あおい,umino_aoi@example.com,女,78,1943/2/13,既婚,熊本県,098-508- 128,090- 635-3993,ドコモ,右ルー・ルー攻め派
岡田 あおい,おかだ あおい,okada_aoi@example.com,女,77,1944/8/18,既婚,神奈川県,027- 50-4942,080- 214-4182,ソフトバンク,左ルー・混ぜ混ぜ派
大和田 進,おおわだ すすむ,oowada_susumu@example.com,男,56,1965/8/1,既婚,大阪府,035-285- 312,090-9869-4575,ソフトバンク,左ルー・せき止め派
藤木 功補,ふじき こうすけ,fujiki_kousuke@example.com,男,61,1960/8/13,既婚,山口県,025-195-8481,090-7474-7472,ソフトバンク,ぶっかけ・ナン派
秋本 守,あきもと まもる,akimoto_mamoru@example.com,男,27,1994/6/18,未婚,広島県,069- 51-1442,080-1686-4500,au,左ルー・混ぜ混ぜ派
